X,Y,OBJECTID,IDENTIFICA,TIPO,icon_url
-68.3881455013994,-33.5915405016244,"3",SET-VI-161,De Pozo,./0.png
-68.3929801212504,-33.6195659988362,"4",SET-VI-109,De Pozo,./0.png
-68.3956903504728,-33.5665392142023,"5",SET-VI-228,De Pozo,./0.png
-68.9104124439966,-33.270594067878,"6",SET-UG-28Bis,De Pozo,./0.png
-68.3824883626173,-33.5865440395684,"8",EM-VI-,De Maniobras,./0.png
-68.4017209058515,-33.5641351120648,"9",SET-VI-220,De Pozo,./0.png
-68.4487448075295,-33.5279782643065,"10",SET-VI-78,De Pozo,./0.png
-68.4287718133466,-33.5522326069425,"12",SET-VI-288,De Pozo,./0.png
-68.3893567468926,-33.5635175459558,"13",SET-VI-113,De Pozo,./0.png
-68.4561457837935,-33.5461888126429,"16",SET-VI-1072,De Pozo,./0.png
-68.4199101212945,-33.5500822923691,"17",SET-VI-03,De Pozo,./0.png
-68.4080705932051,-33.5762451898326,"18",SET-VI-232,De Pozo,./0.png
-68.4995931248834,-33.4835532834343,"22",SET-CD-88,De Pozo,./0.png
-68.7866206219553,-33.1400851119739,"24",SET-B-79,De Distribucion,./0.png
-68.42103910053,-33.5509222739365,"25",SET-VI-DEPOSITO,De Maniobras,./0.png
-68.4011812302499,-33.5983976448196,"26",SET-VI-1013,De Pozo,./0.png
-68.3991484351093,-33.5593832105799,"28",SET-VI-107,De Pozo,./0.png
